상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
26426026,카페오호,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11530,구로구,1153079000,수궁동,1153010900,궁동,1153010900202800001,1,대지,280,1.0,서울특별시 구로구 궁동 280-1,115304148439,서울특별시 구로구 오리로22길,12,,1153010900102800001000401,,서울특별시 구로구 오리로22길 12,152885,8249.0,,2,,126.82989278636002,37.498815127875396
26423625,카페벤티,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168065000,역삼2동,1168010100,역삼동,1168010100207070034,1,대지,707,34.0,서울특별시 강남구 역삼동 707-34,116803122010,서울특별시 강남구 테헤란로,322,,1168010100107070024000001,한신인터밸리24빌딩,서울특별시 강남구 테헤란로 322,135918,6211.0,,1,,127.04656828854999,37.503231584468104
25973148,더드림,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11215,광진구,1121573000,군자동,1121510900,군자동,1121510900200980000,1,대지,98,,서울특별시 광진구 군자동 98,112153104007,서울특별시 광진구 능동로,209,,1121510900100980000018572,세종대학교,서울특별시 광진구 능동로 209,143747,5006.0,,1,,127.07427724400499,37.5527306178074
26482588,프롬나드,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11380,은평구,1138069000,진관동,1138011400,진관동,1138011400200030000,1,대지,3,,서울특별시 은평구 진관동 3,113803111012,서울특별시 은평구 진관4로,78,7.0,1138011400100050000000001,은평뉴타운상림마을,서울특별시 은평구 진관4로 78-7,122736,3304.0,601,,101,126.929438966361,37.646547157617704
26064392,남구지역자활센터,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,26,부산광역시,26290,남구,2629056000,대연6동,2629010600,대연동,2629010600212680001,1,대지,1268,1.0,부산광역시 남구 대연동 1268-1,262903131008,부산광역시 남구 못골로,19,,2629010600112680001007682,남구청,부산광역시 남구 못골로 19,608701,48452.0,,,,129.08413458891002,35.136518226876696
26422018,카페베네,구의점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11215,광진구,1121585000,구의1동,1121510300,구의동,1121510300202420138,1,대지,242,138.0,서울특별시 광진구 구의동 242-138,112154112425,서울특별시 광진구 자양로22길,70,14.0,1121510300102420138009225,,서울특별시 광진구 자양로22길 70-14,143200,5042.0,,1,18,127.08716291140499,37.5392250563908
26201467,빈스빈스커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,26,부산광역시,26290,남구,2629058000,용호2동,2629010700,용호동,2629010700205160010,1,대지,516,10.0,부산광역시 남구 용호동 516-10,262904193052,부산광역시 남구 동명로152번길,93,,2629010700105160010029974,용호시장,부산광역시 남구 동명로152번길 93,608090,48587.0,,,23,129.112798456356,35.1149314834835
26116433,디노월드,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11170,용산구,1117053000,남영동,1117010600,용산동1가,1117010600200080000,1,대지,8,,서울특별시 용산구 용산동1가 8,111703102009,서울특별시 용산구 이태원로,29,,1117010600100080000024153,전쟁기념관,서울특별시 용산구 이태원로 29,140021,4353.0,,1,,126.978446851542,37.5373254412298
26423703,카페아비오,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144072000,성산1동,1144012500,성산동,1144012500202260010,1,대지,226,10.0,서울특별시 마포구 성산동 226-10,114403113011,서울특별시 마포구 성미산로,82,,1144012500102260010017523,명주빌딩,서울특별시 마포구 성미산로 82,121250,3986.0,,1,,126.917054034291,37.560574833846296
26438703,카페브릿지,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,26,부산광역시,26110,중구,2611058000,남포동,2611013700,남포동2가,2611013700200080000,1,대지,8,,부산광역시 중구 남포동2가 8,261104175031,부산광역시 중구 남포길,37,1.0,2611013700100080000008393,처가집양념치킨,부산광역시 중구 남포길 37-1,600042,48954.0,,2,,129.032914049629,35.0983766667542
26436597,카페트S.N,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114054000,회현동,1114012200,회현동2가,1114012200200490004,1,대지,49,4.0,서울특별시 중구 회현동2가 49-4,111404103205,서울특별시 중구 소공로3길,25,,1114012200100490004021414,아일빌딩,서울특별시 중구 소공로3길 25,100877,4633.0,,2,208,126.982682993626,37.5569957744523
26057264,까페지유,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11470,양천구,1147063000,신정2동,1147010100,신정동,1147010100201170005,1,대지,117,5.0,서울특별시 양천구 신정동 117-5,114704142231,서울특별시 양천구 신목로14길,6,,1147010100101170005005626,,서울특별시 양천구 신목로14길 6,158070,8009.0,,1,,126.87479350878,37.521966628381
26454859,코나베리,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144063000,신수동,1144011200,현석동,1144011200200480002,1,대지,48,2.0,서울특별시 마포구 현석동 48-2,114403113013,서울특별시 마포구 신수로,21,,1144011200100480002008389,서울특별시재향군인회마포구신수동회,서울특별시 마포구 신수로 21,121120,4092.0,,1,,126.93404611827499,37.5436908042538
26424590,카페마당,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11350,노원구,1135060000,공릉2동,1135010300,공릉동,1135010300203500022,1,대지,350,22.0,서울특별시 노원구 공릉동 350-22,113504130006,서울특별시 노원구 공릉로27길,90,,1135010300103500022014786,,서울특별시 노원구 공릉로27길 90,139240,1835.0,A,1,,127.077720958347,37.624967312246795
