상호명,도로명주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,경도,위도
지호수산,"서울특별시 동작구 양녕로25가길 43, (상도동)",소매,음/식료품소매,수산물소매,수산물 소매업,상도4동,126.94110571877701,37.4989813771368
다비치안경,서울특별시 동작구 동작대로 103,소매,사진/광학/정밀기기소매,안경원,안경 소매업,사당2동,126.981681919801,37.4857862981815
영도순대,"서울특별시 동작구 장승배기로10길 26, (상도동)",음식,별식/퓨전요리,순대전문점,한식 음식점업,상도2동,126.940411977908,37.5040570688594
하늘사랑일본우동,"서울특별시 동작구 상도로 69, (대방동)",음식,분식,우동전문점,분식 및 김밥 전문점,대방동,126.92835759691401,37.4999476726813
이왕이렇게태어난거,"서울특별시 동작구 상도로47바길 35, (상도동)",생활서비스,사진,사진관,인물사진 및 행사용비디오 촬영업,상도1동,126.95359479410601,37.5035889046031
샘터분식,서울특별시 동작구 사당로 150,음식,분식,라면김밥분식,분식 및 김밥 전문점,사당5동,126.96625281553499,37.4878508697511
레이,"서울특별시 동작구 동작대로27가길 11, (사당동)",음식,유흥주점,호프/맥주,기타 주점업,사당2동,126.98122312031799,37.4870978809823
핸드픽트호텔.서울,"서울특별시 동작구 상도로 120, (상도동)",숙박,호텔/콘도,호텔/콘도,,상도4동,126.933541603861,37.50123803428679
꿀족,"서울특별시 동작구 사당로29가길 29, (사당동)",음식,한식,한식/백반/한정식,한식 음식점업,사당3동,126.979480577646,37.4863529883328
본죽,서울특별시 동작구 흑석로 93,음식,별식/퓨전요리,죽전문점,한식 음식점업,흑석동,126.959796109016,37.5074190727333
공감모텔,"서울특별시 동작구 서달로14사길 9, (흑석동)",숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,흑석동,126.965119920597,37.5068531227868
이마트,"서울특별시 동작구 만양로 84, (노량진동, 삼익주상복합아파트)",소매,종합소매점,종합소매,그외 기타 종합 소매업,노량진1동,126.94512169294501,37.5109561958313
굽네치킨,서울특별시 동작구 사당로26길 127,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,사당1동,126.97813325980101,37.4781777933695
BBQ치킨,서울특별시 동작구 상도로61길 40,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,상도1동,126.95705566394399,37.4946450552017
삼일종합설비,"서울특별시 동작구 동작대로15길 88, (사당동)",생활서비스,개인/가정용품수리,개인/가정용품수리-종합,그외 기타 개인 및 가정용품 수리업,사당1동,126.97672863527201,37.482517728366
동북선미,"서울특별시 동작구 대림로 30, (신대방동)",음식,중식,중국음식/중국집,중식 음식점업,신대방1동,126.909915021353,37.487281398202
육회일도씨,"서울특별시 동작구 만양로18길 31, (노량진동)",음식,일식/수산물,횟집,한식 음식점업,노량진1동,126.946042698699,37.5130278157216
세일watch,"서울특별시 동작구 상도로 421, (상도동, 관악현대아파트)",소매,시계/귀금속소매,시계/귀금속,시계 및 귀금속 소매업,상도1동,126.956966491682,37.492112315266
강남케터링,"서울특별시 동작구 양녕로 195, (상도동)",음식,한식,한식/백반/한정식,한식 음식점업,상도4동,126.943664480888,37.4987790238385
치킨이맛있는주점꼴깍,"서울특별시 동작구 사당로28길 56, (사당동)",음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,사당1동,126.97925557010201,37.4796201714131
몽몽몽,"서울특별시 동작구 동작대로35다길 22, (사당동)",음식,유흥주점,호프/맥주,기타 주점업,사당2동,126.979276035257,37.4922441080805
김가네,"서울특별시 동작구 상도로30길 40, (상도동, 상도두산위브트레지움2차)",음식,분식,라면김밥분식,분식 및 김밥 전문점,상도2동,126.94245554445,37.5043096549979
